Artist,Song,Song initials
Public Enemy,Fight The Power,FTP
2Pac,Dear Mama,DM
Ice Cube,It Was A Good Day,IWAGD
Eminem,Lose Yourself,LY
OutKast,Rosa Parks,RP
Kanye West,Jesus Walks,JW
Public Enemy,Rebel Without A Pause,RWAP
The Fugees,Ready Or Not,RON
Wu-Tang Clan,Protect Ya Neck,PYN
Run DMC,Walk This Way,WTW
2Pac ft. Dr Dre,California Love,CL
Dead Prez,Hip Hop,HH
De La Soul,I Am I Be,IAIB
Kanye West ft. Rihanna & Kid Cudi,All Of The Lights,AOTL
Kanye West,Blood On The Leaves,BOTL
JAY-Z,Hard Knock Life,HKL
OutKast,Ms Jackson,MJ
Wu-Tang Clan,Bring Da Ruckus,BDR
NWA,Straight Outta Compton,SOC
The Coup,Ghetto Manifesto,GM
Nas,The World Is Yours,TWIY
2Pac,Ambitionz Az A Ridah,AAAR
Lauryn Hill,Doo Wop,DW
Michael Jackson,Billie Jean,BJ
Bob Marley,Redemption Song,RS
Joy Division,Love Will Tear us Apart,LWTUA
The White Stripes,Seven Nation Army,SNA
Biggie,Juicy,J
Kendrick Lamar,Not Like Us,NLU
Future and Metro Groomin and Kendrick Lamar,Like That,LT
Kendrick Lamar,Meet The Grahams,MTG
Bob Dylan,Like a Rolling Stone,LARS
The Rolling Stones,Satisfaction,S
Marvin Gaye,Whats Going On,WGO
The Beach Boys,Good Vibrations,GV
The Beatles,Hey Jude,HJ
Nirvana,Smells Like Teen Spirit,SLTS
The Clash,London Calling,LC
The Beatles,I Want To Hold Your Hand,IWTHYH
Jimi Hendrix,Purple Haze,PH
The Beach Boys,God Only Knows,GOK
Led Zeppelin,Stairway to Heaven,STH
Johnny Cash,I Walk the Line,IWTL
The Doors,Light My Fire,LMF
Jimi Hendrix,All Along the Watchtower,AATW
Sex Pistols,Anarchy in the UK,AITU
Led Zeppelin,Whole Lotta Love,WLL
The Animals,House of the Rising Sun,HOTRS
Queen,Bohemian Rhapsody,BR
Tracy Chapman,Fast Car,FC
Eminem,Lose Yourself,LY
Marvin Gaye,Lets Get It On,LGIO
ABBA,Dancing Queen,DQ
Sex Pistols,God Save The Queen,GSTQ
The Rolling Stones,Paint it Black,PIB
OutKast,Hey Ya,HY
Guns N' Roses,Sweet Child O Mine,SCOM
